start,end,sent,mention,labels,pos,ner,type,ner2
33,34,"Uh , but the Islamic Courts , as I told you , the battle is outside the city of Dinsor at a distance of 40 kilometers in the direction of the city of Baidoa .",Baidoa,/location/city /location,"RB , CC DT JJ NNS , IN PRP VBD PRP , DT NN VBZ IN DT NN IN NNP IN DT NN IN CD NNS IN DT NN IN DT NN IN NNP .",O O O O O O O O O O O O O O O O O O O LOCATION O O O O O O O O O O O O O LOCATION O,O O O O /interest/ideology O O O O O O O O O O O O O O /location/city O O O O /other/number O O O O O O O O /location O,O O O O IDEOLOGY O O O O O O O O O O O O O O CITY O O O O NUMBER O O O O O O O O LOCATION O
0,1,"It has been known about the Persian mentality that it is innately patient , as is obvious with the makers of the famous Persian carpets .",It,/other/health/malady /other/health,"PRP VBZ VBN VBN IN DT NNP NN IN PRP VBZ RB JJ , IN VBZ JJ IN DT NNS IN DT JJ JJ NNS .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O /other O O O O O O O O O O O O O O O O /other O O,O O O O O O MISC O O O O O O O O O O O O O O O O MISC O O
41,42,"The consensus view on real GNP , the total value of the nation 's output of goods and services adjusted for inflation , calls for a 2.3 % gain , down from the second quarter 's 2.5 % , according to MMS International , a unit of McGraw-Hill Inc. , New York .",MMS,/person/title /person,"DT NN NN IN JJ NNP , DT JJ NN IN DT NN POS NN IN NNS CC NNS VBN IN NN , VBZ IN DT CD NN NN , RB IN DT JJ NN POS CD NN , VBG TO NNP NNP , DT NN IN NNP NNP , NNP NNP .",O O O O O O O O O O O O O O O O O O O O O O O O O O PERCENT PERCENT O O O O O DATE DATE O PERCENT PERCENT O O O ORGANIZATION ORGANIZATION O O O O ORGANIZATION ORGANIZATION O LOCATION LOCATION O,O O O O O /other O O O O O O O O O O O O O O O O O O O O /other/percent /other/percent O O O O /other/datetime/date /other/datetime/date /other/datetime/date O /other/percent /other/percent O O O /other/organization /other/organization O O O O /other/organization /other/organization O /location/city /location/city O,O O O O O MISC O O O O O O O O O O O O O O O O O O O O PERCENT PERCENT O O O O DATE DATE DATE O PERCENT PERCENT O O O ORGANIZATION ORGANIZATION O O O O ORGANIZATION ORGANIZATION O STATE_OR_PROVINCE STATE_OR_PROVINCE O
4,5,it 's not a sprint .,sprint,/organization /organization/company,PRP VBZ RB DT NN .,O O O O ORGANIZATION O,O O O O O O,O O O O O O
0,1,"In this way , we will make up one year of math , and it is possible , because there is a precedent , Zhang Qinghong .",In,/other/scientific,"IN DT NN , PRP MD VB RP CD NN IN NN , CC PRP VBZ JJ , IN EX VBZ DT NN , NNP NNP .",O O O O O O O O O O O O O O O O O O O O O O O O PERSON PERSON O,O O O O O O O O /other/datetime /other/datetime O O O O O O O O O O O O O O /contact/name /contact/name O,O O O O O O O O DURATION DURATION O O O O O O O O O O O O O O PERSON PERSON O
7,8,The average of interbank offered rates for dollar deposits in the London market based on quotations at five major banks .,dollar,/other/currency,DT NN IN NN VBN NNS IN NN NNS IN DT NNP NN VBN IN NNS IN CD JJ NNS .,O O O O O O O O O O O LOCATION O O O O O O O O O,O O O O O O O O O O O /location/city O O O O O /other/number O O O,O O O O O O O O O O O CITY O O O O O NUMBER O O O
0,1,"Silver prices could also be boosted by strikes in leading producing nations Peru and Mexico , Mr. Demler says .",Silver,/other/health/treatment /other/scientific /other/health,"NN NNS MD RB VB VBN IN NNS IN VBG VBG NNS NNP CC NNP , NNP NNP VBZ .",O O O O O O O O O O O O LOCATION O LOCATION O O PERSON O O,O O O O O O O O O O O O /location/country O /location/country O O /contact/name O O,O O O O O O O O O O O O COUNTRY O COUNTRY O O PERSON O O
8,9,"It was a very sad day because the people heard , `` The king is mourning for his son . ''",people,/other/living_thing,"PRP VBD DT RB JJ NN IN DT NNS VBD , `` DT NN VBZ VBG IN PRP$ NN . ''",O O O O O O O O O O O O O O O O O O O O O,O O O O O /other/datetime O O O O O O O /contact/salutation O O O /contact/first_name O O O,O O O O O DURATION O O O O O O O TITLE O O O O O O O
4,5,"In other words , Congress wo n't let the CIA do much of anything anymore , and that 's fine with the CIA .",Congress,/person/artist /person/artist/author /location /organization/government /organization /person,"IN JJ NNS , NNP MD RB VB DT NNP VB RB IN NN RB , CC DT VBZ JJ IN DT NNP .",O O O O ORGANIZATION O O O O ORGANIZATION O O O O O O O O O O O O ORGANIZATION O,O O O O /other/organization O O O O /other/organization O O O O O O O O O O O O /other/organization O,O O O O ORGANIZATION O O O O ORGANIZATION O O O O O O O O O O O O ORGANIZATION O
42,43,"But when Law and her husband Eddie Fong were invited to attend the Taipei Film Festival last year , Fong , who is also a screenwriter and director , revealed , `` Clara is very strong willed , and everyone in the Australian film community knows that she ca n't be pushed around and rarely compromises . ``",Australian,/location/country /location,"CC WRB NN CC PRP$ NN NNP NNP VBD VBN TO VB DT NNP NNP NNP JJ NN , NNP , WP VBZ RB DT NN CC NN , VBD , `` NNP VBZ RB JJ VBN , CC NN IN DT JJ NN NN VBZ IN PRP MD RB VB VBN IN CC RB NNS . ``",O O O O O O PERSON PERSON O O O O O LOCATION O O O O O ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O /contact/first_name O /contact/name O /contact/first_name /contact/first_name O O O O O /location/city O O /other/datetime/date /other/datetime/date O /contact/first_name O O O O O /contact/salutation O /contact/salutation O O O O /contact/first_name O O O O O O O O O /bio/nationality O O O O /contact/name O O O O O O O O O O,O O PERSON O O O PERSON PERSON O O O O O O O O DATE DATE O PERSON O O O O O TITLE O TITLE O O O O PERSON O O O O O O O O O NATIONALITY O O O O O O O O O O O O O O O
10,12,International Business Machines Corp. was given a $ 31.2 million Air Force contract for satellite data systems equipment .,Air Force,/organization/military /organization /organization/company,NNP NNP NNPS NNP VBD VBN DT $ CD CD NNP NNP NN IN NN NNS NNS NN .,ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O MONEY MONEY MONEY ORGANIZATION ORGANIZATION O O O O O O O,/other/organization/company/fortune1000 /other/organization/company/fortune1000 /other/organization/company/fortune1000 /other/organization/company/fortune1000 O O O /finance/currency /finance/currency /finance/currency /other/organization /other/organization O O O O /finance/currency /finance/currency /finance/currency,ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O MONEY MONEY MONEY ORGANIZATION ORGANIZATION O O O O O O O
4,5,David went into the Desert of Ziph and stayed in the mountains and fortresses there .,Desert,/location/country /location,NNP VBD IN DT NN IN NNP CC VBD IN DT NNS CC NNS RB .,O O O O O O O O O O O O O O O O,/contact/first_name O O O O O /contact/name O O O O O O O O O,PERSON O O O O O PERSON O O O O O O O O O
0,2,Weight gain ?,Weight gain,/other/health/malady /other/health,NNP VB .,O O O,O O O,O O O
6,7,"Fangchenggang , Qinzhou , Beihai and Zhanjiang , people call the `` Dragon 's head `` of the southwest 's main passageway to the sea .",Zhanjiang,/location/city /location,"NNP , NNP , NNP CC NNP , NNS VBP DT `` NNP POS NN `` IN DT NN POS JJ NN TO DT NN .",O O LOCATION O LOCATION O LOCATION O O O O O O O O O O O O O O O O O O O,/location O /location/city O /location/city O /location/city O O O O O O O O O O O O O O O O O O O,LOCATION O CITY O CITY O CITY O O O O O O O O O O O O O O O O O O O
7,8,"But on that day one senior level person was n't there , so the next day early I had to go back to talk to him .",person,/person,"CC IN DT NN CD JJ NN NN VBD RB RB , IN DT JJ NN RB PRP VBD TO VB RB TO VB TO PRP .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O /other/datetime /other/number O O O O O O O O /other/datetime/date /other/datetime/date /other/datetime/date O O O O O O O O O /contact/name O,O O O DURATION NUMBER O O O O O O O O DATE DATE DATE O O O O O O O O O O O
24,27,"These are the four main pillars of the current World Conflict , or perhaps we should already refer to it as `` the undeclared World War III '' : against it . They become accomplices , by omission , and this applies to",World War III,/other/event /other/event/violent_conflict,"DT VBP DT CD JJ NNS IN DT JJ NN NN , CC RB PRP MD RB VB TO PRP IN `` DT JJ NNP NNP NNP '' : IN PRP . PRP VBP NNS , IN NN , CC DT VBZ TO",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O /other/number O O O O /other/organization /other /other O O O O O O O O O O O O O /other/organization /bio/cause_of_death /other O O O O O O O O O O O O O O O O,O O O NUMBER O O O O DATE MISC MISC O O O O O O O O O O O O O MISC CAUSE_OF_DEATH MISC O O O O O O O O O O O O O O O O
1,2,The Merc is now cooperating with the Comex in developing such a device to provide such an audit trail .,Merc,/organization /organization/company,DT NNP VBZ RB VBG IN DT NNP IN VBG PDT DT NN TO VB JJ DT NN NN .,O ORGANIZATION O O O O O ORGANIZATION O O O O O O O O O O O O,O /other/organization O /other/organization/company/fortune1000 O O O /other/organization O O O O O O O O O O O O,O ORGANIZATION O DATE O O O ORGANIZATION O O O O O O O O O O O O
8,9,Most world leaders have welcomed the ouster of President Slobodan Milosevic .,President,/person/title /person,JJS NN NNS VBP VBN DT NN IN NNP NNP NNP .,O O O O O O O O O PERSON PERSON O,O O O O O O O O /contact/salutation /contact/name /contact/name O,O O O O O O O O TITLE PERSON PERSON O
7,8,"Speaking at the same time about an Iranian role in the financing and support of the war of genocide against the Sunnis . `` Fadil `` , a commander in the Mahdi Army tells how he had followed three Arab Sunni men for a period of some weeks and detained them when they were crossing the Karada bridge , after having informed an Iraqi army road block close to the area that he was pursuing `` terrorists `` , then attacked the car of the group in question .",Iranian,/other/heritage,"VBG IN DT JJ NN IN DT JJ NN IN DT NN CC NN IN DT NN IN NN IN DT NNPS . `` NNP `` , DT NN IN DT NNP NNP VBZ WRB PRP VBD VBN CD NNP NNP NNS IN DT NN IN DT NNS CC VBD PRP WRB PRP VBD VBG DT NNP NN , IN VBG VBN DT JJ NN NN NN NN TO DT NN IN PRP VBD VBG `` NNS `` , RB VBD DT NN IN DT NN IN NN .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O /contact/salutation O O O /bio/nationality O O O O O O O O /bio/cause_of_death O /bio/criminal_charge O O /other O O /contact/first_name O O O /contact/salutation O O /other/organization /other/organization O O O O O /other/number /other /interest/religion O O O O O O /other/datetime O O O O O O O O /location /location O O O O O /bio/nationality O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O NATIONALITY O O O O O O O O CAUSE_OF_DEATH O CRIMINAL_CHARGE O O MISC O O PERSON O O O TITLE O O ORGANIZATION ORGANIZATION O O O O O NUMBER MISC RELIGION O O O O O O DURATION O O O O O O O O LOCATION LOCATION O O O O O NATIONALITY O O O O O O O O O O O O O O O O O O O O O O O O O
3,4,"Her research was conducted here at a location well-known to U.N. arms inspectors , 300 miles west of Baghdad .",conducted,/person/title /person,"PRP$ NN VBD VBN RB IN DT NN JJ TO NNP NNS NNS , CD NNS NN IN NNP .",O O O O O O O O O O ORGANIZATION O O O O O O O LOCATION O,/contact/name O O O O O O O O O /other/organization O O O /other/number O O O /location/city O,O O O O O O O O O O ORGANIZATION O O O NUMBER O O O CITY O
11,12,The first official parliamentary vote results in the Yugoslav republic of Serbia show President Vojislav Kostunica 's reform government winning in a landslide victory .,Serbia,/location/country /location,DT JJ NN JJ NN VBZ IN DT NNP NN IN NNP VBP NNP NNP NNP POS NN NN VBG IN DT NN NN .,O O O O O O O O O O O LOCATION O O PERSON PERSON O O O O O O O O O,O /other/number O O O O O O /bio/nationality /location/country /location/country /location/country O /contact/salutation /contact/name /contact/name O O O O O O O O O,O ORDINAL O O O O O O NATIONALITY COUNTRY COUNTRY COUNTRY O TITLE PERSON PERSON O O O O O O O O O
0,1,All of us who have grown to be spiritually mature should think this way too .,All,/location/country /location,DT IN PRP WP VBP VBN TO VB RB JJ MD VB DT NN RB .,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
9,10,"During the past three weeks , for example , Drexel has sold $ 1.3 billion of new junk bonds for Turner Broadcasting Co. , Uniroyal Chemical , Continental Air and Duff & Phelps .",Drexel,/organization/education /organization /location /organization/company,"IN DT JJ CD NNS , IN NN , NNP VBZ VBN $ CD CD IN JJ NN NNS IN NNP NNP NNP , NNP NNP , NNP NNP CC NNP CC NNP .",O O O O O O O O O ORGANIZATION O O MONEY MONEY MONEY O O O O O ORGANIZATION ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O,O /other/datetime /other/datetime /other/datetime /other/datetime O O O O /other/organization O O /finance/currency /finance/currency /finance/currency O O O O O /other/organization /other/organization /other/organization O /other/organization /other/organization O /other/organization /other/organization O /other/organization /finance/currency /finance/currency /finance/currency,O DURATION DURATION DURATION DURATION O O O O ORGANIZATION O O MONEY MONEY MONEY O O O O O ORGANIZATION ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION O ORGANIZATION ORGANIZATION ORGANIZATION O
14,15,"However , behind these sweet memories of cypress wood are the regrets of the foresters .",foresters,/other/living_thing,"RB , IN DT JJ NNS IN NN NN VBP DT NNS IN DT NNS .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
0,1,In America the lawyers do .,In,/other/internet,IN NNP DT NNS VBP .,O LOCATION O O O O,O /location/country O O O O,O COUNTRY O O O O
8,11,The reason is that any reduction on the Fed funds rate will cause the USD to devalue even further and do even more damage .,Fed funds rate,/organization,DT NN VBZ IN DT NN IN DT NNP NNS NN MD VB DT NNP TO VB RB JJ CC VBP RB RBR NN .,O O O O O O O O ORGANIZATION O O O O O O O O O O O O O O O O,O O O O O O O O /other/organization O O O O O O O O O O O O O O O O,O O O O O O O O ORGANIZATION O O O O O O O O O O O O O O O O
25,26,"But the legislation reflected a compromise agreed to on Tuesday by President Bush and Democratic leaders in Congress , after congressional Republicans urged the White House to bend a bit from its previous resistance to compromise .",House,/organization/government /organization,"CC DT NN VBD DT NN VBD TO IN NNP IN NNP NNP CC JJ NNS IN NNP , IN JJ NNPS VBD DT NNP NNP TO VB DT NN IN PRP$ JJ NN TO VB .",O O O O O O O O O DATE O O PERSON O O O O ORGANIZATION O O O O O O ORGANIZATION ORGANIZATION O O O O O O O O O O O,O O O O O O O O O /other/datetime/date O /contact/salutation /contact/name O /interest/ideology O O /location O O O /other O O /location /location O O O O O O O O O O O,O O O O O O O O O DATE O TITLE PERSON O IDEOLOGY O O ORGANIZATION O O O MISC O O ORGANIZATION ORGANIZATION O O O O O O O O O O O
3,4,"Battle-tested Japanese industrial managers here always buck up nervous newcomers with the tale of the first of their countrymen to visit Mexico , a boatload of samurai warriors blown ashore 375 years ago .",managers,/person/title /person,"JJ JJ JJ NNS RB RB VB RP JJ NNS IN DT NN IN DT JJ IN PRP$ NNS TO VB NNP , DT NN IN NN NNS VBN RB CD NNS RB .",O O O O O O O O O O O O O O O O O O O O O LOCATION O O O O O O O O O O O O,O /bio/nationality O O O O O O O O O O O O O /other/number O O O O O /location/country O O O O O O O O /other/datetime/date /other/datetime/date /other/datetime/date O,O NATIONALITY O O O O O O O O O O O O O ORDINAL O O O O O COUNTRY O O O O O O O O DATE DATE DATE O
11,12,"So it 's quite possible that the terrific play between the brothers is n't natural at all , that Jeff and Beau had to work like crazy to make their brotherly love -- and resentment and frustration and rage -- seem so very real .",brothers,/person/artist /organization/music /person/artist/music /person/artist/author /organization /person,"IN PRP VBZ RB JJ IN DT JJ NN IN DT NNS VBZ RB JJ IN DT , IN NNP CC NNP VBD TO VB IN JJ TO VB PRP$ JJ NN : CC NN CC NN CC NN : VBP RB RB JJ .",O O O O O O O O O O O O O O O O O O O PERSON O ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O /contact/first_name O /contact/first_name O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O PERSON O PERSON O O O O O O O O O O O O O O O O O O O O O O O
2,3,"Among Big Board specialists , the cry was `` Pull your offers '' -- meaning that specialists soon expected to get higher prices for their shares .",Board,/person/title /person,"IN NNP NNP NNS , DT NN VBD `` VB PRP$ NNS '' : VBG IN NNS RB VBN TO VB JJR NNS IN PRP$ NNS .",O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O,O /other/organization /other/organization O O O O O O O O O O O O O O O O O O O O O O O O,O ORGANIZATION ORGANIZATION O O O O O O O O O O O O O O O O O O O O O O O O
14,15,Foothills ' main rival to build a Mackenzie Delta pipeline is likely to be TransCanada PipeLines .,TransCanada,/organization /organization/company,NNP POS JJ NN TO VB DT NNP NNP NN VBZ JJ TO VB NNP NNP .,O O O O O O O ORGANIZATION ORGANIZATION O O O O O ORGANIZATION ORGANIZATION O,O O O O O O O /location/city /location/city O O O O O /other/organization O O,O O O O O O O CITY CITY O O O O O O O O
0,1,What does this mean ? '',What,/organization /organization/company,WP VBZ DT VB . '',O O O O O O,O O O O O O,O O O O O O
2,3,They buried Abner in Hebron .,Abner,/person,PRP VBN NNP IN NNP .,O O O O LOCATION O,O O /contact/first_name O /location/city O,O O PERSON O CITY O
18,19,"-LSB- alvarado -RSB- Next semester she 's going from UPenn to Harvard , and she may be the chair at Harvard .",chair,/person/title /person,"-LRB- NN -RRB- JJ NN PRP VBZ VBG IN NNP TO NNP , CC PRP MD VB DT NN IN NNP .",O O O O O O O O O O O LOCATION O O O O O O O O ORGANIZATION O,O /other/organization O O O /contact/name O O O O O /location/city O O O O O O O O /other/organization O,O O O O O O O O O O O ORGANIZATION O O O O O O O O ORGANIZATION O
7,8,The other party carried a card for insurance under the name Salamat Program .,insurance,/other/product,DT JJ NN VBD DT NN IN NN IN DT NN NNP NNP .,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
17,18,"Israel has long claimed Mr. Arafat never meant to renounce terrorism , particularly because he and his lieutenants reserved the right to press `` armed struggle '' against the Jewish state .",lieutenants,/person/title /person,"NNP VBZ RB VBN NNP NNP RB VBD TO VB NN , RB IN PRP CC PRP$ NNS VBD DT NN TO VB `` JJ NN '' IN DT JJ NN .",LOCATION O O O O PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O,/location/country O O O O /contact/first_name O O O O /bio/criminal_charge O O O /contact/salutation O /contact/first_name O O O O O O O O O O O /location/country /location/country /location/country O,COUNTRY O O O O PERSON O O O O CRIMINAL_CHARGE O O O O O O O O O O O O O O O O O COUNTRY COUNTRY COUNTRY O
6,7,"We continually ask : what does London , the instigator of the Balfour Declaration , benefit from hosting to Atwan ?",London,/location/city /location,"PRP RB VB : WP VBZ NNP , DT NN IN DT NNP NNP , NN IN VBG TO NNP .",O O O O O O LOCATION O O O O O ORGANIZATION ORGANIZATION O O O O O O O,O O O O O O /location/city O O O O O O O O O O O O /contact/name O,O O O O O O CITY O O O O O O O O O O O O PERSON O
0,1,"Mitsubishi Heavy Industries Ltd. said unconsolidated pretax earnings in the fiscal first half surged 79 % to a record 63.25 billion yen-LRB - $ 445.7 million-RRB - , reflecting strong demand for a variety of products .",Mitsubishi,/organization /organization/company,"NNP NNP NNPS NNP VBD JJ JJ NNS IN DT JJ JJ NN VBD CD NN TO DT NN CD CD NN : $ CD NN : , VBG JJ NN IN DT NN IN NNS .",ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O O O O PERCENT PERCENT O O O O O O O MONEY MONEY MONEY O O O O O O O O O O O,/other/organization /other/organization /other/organization /other/organization O O O O O O O /other/number O O /other/percent /other/percent O O O /other/number /other/number O O /finance/currency /finance/currency /finance/currency O O O O O O O O /finance/currency /finance/currency /finance/currency,ORGANIZATION ORGANIZATION ORGANIZATION ORGANIZATION O O O O O O O ORDINAL O O PERCENT PERCENT O O O NUMBER NUMBER O O MONEY MONEY MONEY O O O O O O O O O O O
4,5,A prominent businessman in Bombay gives a similar testimonial : `` I have been taking it daily since 1961 .,Bombay,/location/city /location,DT JJ NN IN NNP VBZ DT JJ NN : `` PRP VBP VBN VBG PRP RB IN CD .,O O O O LOCATION O O O O O O O O O O O O O DATE O,O O /contact/salutation O /location/city O O O O O O O O O O O /other O /other/datetime/date O,O O TITLE O CITY O O O O O O O O O O O SET O DATE O
7,9,"The survey found that nearly half of Hong Kong consumers espouse what it identified as materialistic values , compared with about one-third in Japan and the U.S. .",Hong Kong,/location/country /location/city /location,"DT NN VBD IN RB NN IN NNP NNP NNS VBP WP PRP VBD IN JJ NNS , VBN IN IN NN IN NNP CC DT NNP .",O O O O O O O LOCATION LOCATION O O O O O O O O O O O O O O LOCATION O O LOCATION O,O O O O O O O /location/city /location/city O O O O O O O O O O O O /other/number O /location/country O O /location/country O,O O O O O O O CITY CITY O O O O O O O O O O O O ORDINAL O COUNTRY O O COUNTRY O
